0
2001
# eps (GeV/fm^3)  P (GeV/fm^3)      s (fm^-3)      n_b (fm^-3)      x                T (GeV)       mu_b (GeV)     mu_s (GeV)      c_2^2            deps/dT|(n/s)
   0.0            0.0              0.0            0.0            0.0               0.0            0.0            0.0              0.0                       0.0
   0.0670000000   0.0107108426     0.6261877737   0.0000000000   0.0000000000	   0.1020606572   0.0000000000   0.0000000000	  0.16904705039430071        2.2322495271196359     
   0.0690000000   0.0110489815     0.6422689499  -0.0000000000   0.0000000000	   0.1029469432   0.0000000000   0.0000000000	  0.16909251236368966        2.2810158935047018     
   0.0710000000   0.0113872153     0.6582823204   0.0000000000   0.0000000000	   0.1038146209   0.0000000000   0.0000000000	  0.16914205109973610        2.3290343764624466     
   0.0730000000   0.0117255525     0.6742300649  -0.0000000000   0.0000000000	   0.1046647225   0.0000000000   0.0000000000	  0.16919580108665908        2.3763238674954739     
   0.0750000000   0.0120640014     0.6901142330   0.0000000000   0.0000000000	   0.1054981959   0.0000000000   0.0000000000	  0.16925384378539807        2.4229032152447760     
   0.0770000000   0.0124025707     0.7059367548  -0.0000000000   0.0000000000	   0.1063159134   0.0000000000   0.0000000000	  0.16931621719824838        2.4687911620391150     
   0.0790000000   0.0127412691     0.7216994513  -0.0000000000   0.0000000000	   0.1071186795   0.0000000000   0.0000000000	  0.16938292384183726        2.5140062847398710     
   0.0810000000   0.0130801052     0.7374040427   0.0000000000   0.0000000000	   0.1079072374   0.0000000000   0.0000000000	  0.16945393723384197        2.5585669547975609     
   0.0830000000   0.0134190876     0.7530521567  -0.0000000000   0.0000000000	   0.1086822752   0.0000000000   0.0000000000	  0.16952920731910798        2.6024913044285456     
   0.0850000000   0.0137582248     0.7686453346   0.0000000000   0.0000000000	   0.1094444308   0.0000000000   0.0000000000	  0.16960866512996381        2.6457971797130337     
   0.0870000000   0.0140975250     0.7841850392   0.0000000000   0.0000000000	   0.1101942971   0.0000000000   0.0000000000	  0.16969222642822773        2.6885021334182353     
   0.0890000000   0.0144369963     0.7996726595   0.0000000000   0.0000000000	   0.1109324253   0.0000000000   0.0000000000	  0.16977979498345697        2.7306233876678085     
   0.0910000000   0.0147766467     0.8151095163   0.0000000000   0.0000000000	   0.1116593292   0.0000000000   0.0000000000	  0.16987126518831303        2.7721778206887095     
   0.0930000000   0.0151164839     0.8304968669  -0.0000000000   0.0000000000	   0.1123754883   0.0000000000   0.0000000000	  0.16996652428005035        2.8131819512706602     
