0
3500
#  eps (GeV/fm^3)     P (GeV/fm^3)     s (fm^-3)     n_b (fm^-3)   x               T (GeV)        mu_b (GeV)     mu_s (GeV)      c_2^2            deps/dT|(n/s)
     0.0000000000     0.0000000000     0.0000000000  0.0000000000  0.0000000000    0.0000000000   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0010000000     0.0000512658     0.0142057489  0.0000000000  0.0000000000    0.0188746616   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0030000000     0.0002470230     0.0398116300  0.0000000000  0.0000000000    0.0325288158   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0050000000     0.0004939156     0.0635989281  0.0000000000  0.0000000000    0.0408760685   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0070000000     0.0007682515     0.0862542085  0.0000000000  0.0000000000    0.0470949324   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0090000000     0.0010600201     0.1080873712  0.0000000000  0.0000000000    0.0521056281   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0110000000     0.0013636868     0.1292782871  0.0000000000  0.0000000000    0.0563216696   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0130000000     0.0016758065     0.1499448874  0.0000000000  0.0000000000    0.0599699102   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0150000000     0.0019940889     0.1701704469  0.0000000000  0.0000000000    0.0631903146   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0170000000     0.0023169463     0.1900168118  0.0000000000  0.0000000000    0.0660761567   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0190000000     0.0026432451     0.2095316360  0.0000000000  0.0000000000    0.0686930588   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0210000000     0.0029721576     0.2287526883  0.0000000000  0.0000000000    0.0710890830   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0230000000     0.0033030697     0.2477105792  0.0000000000  0.0000000000    0.0733005430   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0250000000     0.0036355192     0.2664305752  0.0000000000  0.0000000000    0.0753555678   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0270000000     0.0039691548     0.2849338510  0.0000000000  0.0000000000    0.0772763934   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0290000000     0.0043037074     0.3032383824  0.0000000000  0.0000000000    0.0790809015   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0310000000     0.0046389695     0.3213595995  0.0000000000  0.0000000000    0.0807836830   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0330000000     0.0049747805     0.3393108760  0.0000000000  0.0000000000    0.0823967948   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0350000000     0.0053110163     0.3571039009  0.0000000000  0.0000000000    0.0839303105   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0370000000     0.0056475803     0.3747489688  0.0000000000  0.0000000000    0.0853927291   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0390000000     0.0059843983     0.3922552068  0.0000000000  0.0000000000    0.0867912841   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0410000000     0.0063214129     0.4096307558  0.0000000000  0.0000000000    0.0881321796   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0430000000     0.0066585806     0.4268829167  0.0000000000  0.0000000000    0.0894207749   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0450000000     0.0069958689     0.4440182696  0.0000000000  0.0000000000    0.0906617294   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0470000000     0.0073332536     0.4610427723  0.0000000000  0.0000000000    0.0918591172   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0490000000     0.0076707177     0.4779618408  0.0000000000  0.0000000000    0.0930165203   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0510000000     0.0080082496     0.4947804180  0.0000000000  0.0000000000    0.0941371034   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0530000000     0.0083458423     0.5115030308  0.0000000000  0.0000000000    0.0952236754   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0550000000     0.0086834923     0.5281338385  0.0000000000  0.0000000000    0.0962787399   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0570000000     0.0090211990     0.5446766744  0.0000000000  0.0000000000    0.0973045370   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0590000000     0.0093589640     0.5611350819  0.0000000000  0.0000000000    0.0983030787   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0610000000     0.0096967907     0.5775123441  0.0000000000  0.0000000000    0.0992761780   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0630000000     0.0100346841     0.5938115109  0.0000000000  0.0000000000    0.1002254741   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0650000000     0.0103726502     0.6100354226  0.0000000000  0.0000000000    0.1011524533   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0670000000     0.0107106958     0.6261867294  0.0000000000  0.0000000000    0.1020584672   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0690000000     0.0110488285     0.6422679096  0.0000000000  0.0000000000    0.1029447482   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0710000000     0.0113870562     0.6582812854  0.0000000000  0.0000000000    0.1038124228   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0730000000     0.0117253872     0.6742290362  0.0000000000  0.0000000000    0.1046625230   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
     0.0750000000     0.0120638300     0.6901132115  0.0000000000  0.0000000000    0.1054959967   0.0000000000   0.0000000000     0.00000000000000000       0.00000000000000000
